enz,max_slope,r2,intercept,substrate,colony
c22_ethylurea_4np,0.044858032,0.996208356,13.444093222612214,ethylurea,c22
c28_ethylurea_4np,0.044302999,0.9943668824922274,10.999429145563939,ethylurea,c28
c34_ethylurea_4np,0.044000136,0.9959445310505943,6.484685914657818,ethylurea,c34
c31_ethylurea_4np,0.042121533,0.9956286501662185,10.954372035421853,ethylurea,c31
c21_ethylurea_4np,0.040294699,0.996633049,14.60146878977814,ethylurea,c21
c38_ethylurea_4np,0.038937139,0.9948870397797046,12.63767670272737,ethylurea,c38
c4_ethylurea_4np,0.038320082,0.9954438885170762,9.053620192619928,ethylurea,c4
c12_ethylurea_4np,0.038237016,0.996374408,10.082419408862208,ethylurea,c12
c5_ethylurea_4np,0.037526532,0.9935746946344767,10.381229110674877,ethylurea,c5
c19_ethylurea_4np,0.037161236,0.9912638862725732,17.09434009742587,ethylurea,c19
c14_ethylurea_4np,0.035681088,0.9918503099769646,10.970477796783452,ethylurea,c14
c13_ethylurea_4np,0.035564598,0.9966364197104077,10.915288180023266,ethylurea,c13
c20_ethylurea_4np,0.03507799,0.9941686452183776,20.79681527803496,ethylurea,c20
c6_ethylurea_4np,0.033418809,0.9940026388291225,10.513539222072986,ethylurea,c6
c23_ethylurea_4np,0.033335928,0.9929936036037913,13.877929644506294,ethylurea,c23
c3_ethylurea_4np,0.033071123,0.9938128530564276,9.616276166148786,ethylurea,c3
c43_ethylurea_4np,0.030328805,0.9923612332248966,12.386847121306618,ethylurea,c43
c15_ethylurea_4np,0.027679334,0.9933897621784545,11.562001023515387,ethylurea,c15
c27_ethylurea_4np,0.023012064,0.9921958076693096,12.559542437131968,ethylurea,c27
rfp_ethylurea_4np_37,0.020568712,0.9889476827080178,12.539069260355065,ethylurea,rfp
c11_ethylurea_4np,0.017493395,0.984614276,12.08464329557512,ethylurea,c11
c7_ethylurea_4np,0.01458932,0.9823832349660296,12.464612028859207,ethylurea,c7
c18_ethylurea_4np,0.006613239,0.9068475665783626,25.605813506936496,ethylurea,c18
c17_ethylurea_4np,0.005883049,0.8801088508513454,30.35939619637468,ethylurea,c17
c26_ethylurea_4np,0.003858648,0.5340998405199628,11.06405142507121,ethylurea,c26
c32_ethylurea_4np_36,0.002827555,0.5273440226157163,14.766719234119401,ethylurea,c32
c32_ethylurea_4np_349,0.002726505,0.6820385572139317,13.814542204163985,ethylurea,c32
c33_ethylurea_4np,0.002402968,0.6807002871167985,16.334282261621212,ethylurea,c33
c42_ethylurea_4np,0.002401417,0.5438574094655978,15.555540994301333,ethylurea,c42
c2_ethylurea_4np,0.002255592,0.597706867,12.102873722280966,ethylurea,c2
c25_ethylurea_4np,0.001969863,0.4558680628162748,13.782683087760416,ethylurea,c25
c8_ethylurea_4np,3.92E-04,0.029272911647968445,13.023840209820913,ethylurea,c8
c41_ethylurea_4np,3.19E-04,0.095760119,15.413392953353148,ethylurea,c41
c9_ethylurea_4np,2.76E-04,0.072148573,12.381559678034433,ethylurea,c9
c1_ethylurea_4np,1.37E-04,0.003138499,13.011520147130263,ethylurea,c1
c40_ethylurea_4np,1.34E-16,0.49131994659190587,16.919339762603126,ethylurea,c40
c13_flutamide,0.385128876,0.9982809516647931,-11.48711826,flutamide,c13
c23_flutamide,0.371464922,0.9981157336825799,-2.186981179,flutamide,c23
c5_flutamide,0.36196548,0.9983645244410772,-12.48657035,flutamide,c5
c16_flutamide,0.358236473,0.9991545360508056,-9.070928769,flutamide,c16
c14_flutamide,0.354752437,0.9986025063881288,-13.28792935,flutamide,c14
c15_flutamide,0.353724918,0.9986368288264144,-13.29842734,flutamide,c15
c28_flutamide,0.339543803,0.9990182233888636,-10.42181038,flutamide,c28
c32_flutamide_48,0.327771572,0.9990369274657086,-6.728141765,flutamide,c32
c4_flutamide,0.316196679,0.9989273157405623,-16.38223051,flutamide,c4
c40_flutamide,0.298266143,0.9976820559959668,4.936986680558958,flutamide,c40
wt_flutamide_145,0.298093343,0.999353828,-11.77536873,flutamide,wt
wt_flutamide_193,0.289949517,0.999159445,-12.17039039,flutamide,wt
c41_flutamide,0.281927919,0.9980242650269169,3.191075711,flutamide,c41
c12_flutamide,0.277276821,0.9990734473725995,-15.0494981,flutamide,c12
c27_flutamide,0.276375237,0.9996734795603455,-2.825348676,flutamide,c27
c20_flutamide,0.273871086,0.9993817573394093,-6.418278339,flutamide,c20
c31_flutamide,0.261370746,0.9991863653790249,-13.75039935,flutamide,c31
c8_flutamide,0.25786255,0.9997458313895415,-6.945504979,flutamide,c8
c9_flutamide,0.257553277,0.9985504965447313,-2.563740861,flutamide,c9
c18_flutamide,0.25705653,0.9990083623412983,0.8323128919156841,flutamide,c18
c37_flutamide,0.25501871,0.9992444467061363,-12.17538999,flutamide,c37
c21_flutamide,0.252769532,0.9992445109283085,-11.51387303,flutamide,c21
c29_flutamide,0.249965972,0.9991448114111889,-15.07667298,flutamide,c29
c36_flutamide,0.248907495,0.9993601509286764,-12.5051849,flutamide,c36
c19_flutamide,0.237763286,0.9992338500582565,-3.235667255,flutamide,c19
c38_flutamide,0.236420547,0.9994207165114214,-9.801974934,flutamide,c38
c35_flutamide,0.235163903,0.9991877971608503,-12.9256608,flutamide,c35
c3_flutamide,0.234975947,0.9990820101514835,-13.21741753,flutamide,c3
c34_flutamide,0.232127129,0.9996764968147553,-5.780307798,flutamide,c34
c30_flutamide,0.223298126,0.9992110878094018,-14.67172953,flutamide,c30
c44_flutamide,0.217066921,0.999577722,-11.07775649,flutamide,c44
c24_flutamide,0.215329755,0.9998666644519576,-1.566346661,flutamide,c24
c10_flutamide,0.210028849,0.99912265644307785,-4.982380061,flutamide,c10
c42_flutamide,0.190172565,0.9993735666515338,-3.03241087,flutamide,c42
c43_flutamide,0.189301556,0.9996564692743594,-3.177233676,flutamide,c43
c26_flutamide,0.179672824,0.9994631876958928,-3.456954219,flutamide,c26
c2_flutamide,0.176120741,0.9995697920549832,-6.203510306,flutamide,c2
c17_flutamide,0.159047603,0.9994355191830213,-3.054811693,flutamide,c17
c33_flutamide,0.153066221,0.9995571846860585,-5.7358215,flutamide,c33
c25_flutamide,0.143907017,0.9996342337488846,-4.52505534,flutamide,c25
c6_flutamide,0.126867904,0.9982242608203804,-13.69359279,flutamide,c6
c7_flutamide,0.110978794,0.9977025414753499,-10.57096079,flutamide,c7
c22_flutamide,0.098464845,0.9981602029736342,-9.509301142,flutamide,c22
rfp_flutamide_97,0.072560728,0.9964191577198565,-12.9764739,flutamide,rfp
c11_flutamide,0.05892412,0.9980190639080295,-10.90248201,flutamide,c11
c32_flutamide_361,0.045028759,0.9987500362851823,-8.638622409,flutamide,c32
rfp_flutamide_49,0.031865574,0.9962216616226326,-8.878991988,flutamide,rfp
c1_flutamide,0.002535095,0.7550151313435436,-5.210778774,flutamide,c1
c36_methyl_4np_acetamide,0.002538208,0.7568705302998574,-4.614556284,methyl,c36
c17_methyl_4np_acetamide,0.002526617,0.7525562887839231,-3.093818004,methyl,c17
c5_methyl_4np_acetamide,0.002526617,0.7525562887839171,-7.038126933,methyl,c5
c35_methyl_4np_acetamide,0.002506333,0.7467765333112907,-5.5230418,methyl,c35
c29_methyl_4np_acetamide,0.00249329,0.7367026038787535,-6.369710208,methyl,c29
c43_methyl_4np_acetamide,0.002484167,0.7342016885768694,-4.693359162,methyl,c43
c4_methyl_4np_acetamide,0.002484167,0.7342016885768687,-7.623382106,methyl,c4
c14_methyl_4np_acetamide,0.002478426,0.7262249615592388,-6.157422743,methyl,c14
c18_methyl_4np_acetamide,0.002473057,0.7185145144726524,-3.289057623,methyl,c18
c27_methyl_4np_acetamide,0.002465462,0.7226194412299607,-5.081005568,methyl,c27
c10_methyl_4np_acetamide,0.002445026,0.7106898350967172,-7.455025905,methyl,c10
c28_methyl_4np_acetamide,0.002445026,0.7106898350967122,-5.84538381,methyl,c28
c3_methyl_4np_acetamide,0.002427919,0.6925250640105313,-7.819781263,methyl,c3
c8_methyl_4np_acetamide,0.002422908,0.6984377509349096,-7.846359006,methyl,c8
c11_methyl_4np_acetamide,0.002416707,0.6885062748911713,-6.872483478,methyl,c11
c2_methyl_4np_acetamide,0.002411289,0.6890416033259623,-7.639205707,methyl,c2
wt_methyl_4np_acetamide_175,0.002407086,0.6879031998491826,-5.037901057,methyl,wt
c44_methyl_4np_acetamide,0.002366161,0.6647108226541404,-5.530332234,methyl,c44
c12_methyl_4np_acetamide,0.002361649,0.6635667515543604,-6.7827857,methyl,c12
c1_methyl_4np_acetamide,0.002355875,0.652036168,-7.470259244,methyl,c1
c19_methyl_4np_acetamide,0.002334274,0.6423378947855888,-2.932557683,methyl,c19
c13_methyl_4np_acetamide,0.002327736,0.6405998201480374,-6.002188468,methyl,c13
c15_methyl_4np_acetamide,0.00227749,0.6158249819522784,-6.199058886,methyl,c15
c9_methyl_4np_acetamide,0.002276271,0.6087166355326914,-7.217599599,methyl,c9
c7_methyl_4np_acetamide,0.002275604,0.623958886,-6.861689702,methyl,c7
c26_methyl_4np_acetamide,0.002222871,0.6024721187227433,-5.576223265,methyl,c26
c20_methyl_4np_acetamide,0.002181121,0.5703044418296337,-3.240496035,methyl,c20
rfp_methyl_4np_acetamide_79,0.002179363,0.5646406430815037,-5.418817363,methyl,rfp
c6_methyl_4np_acetamide,0.002145303,0.5471299721257873,-7.037927315,methyl,c6
c41_methyl_4np_acetamide,0.002134253,0.5407993415456207,-5.345053094,methyl,c41
c34_methyl_4np_acetamide,0.002082581,0.5160095039805465,-5.489432909,methyl,c34
rfp_methyl_4np_acetamide_31,0.001985736,0.510711536,-5.378103215,methyl,rfp
c37_methyl_4np_acetamide,0.001920511,0.43847697507393324,-4.49931476,methyl,c37
c40_methyl_4np_acetamide,0.001823136,0.39793929683387635,-3.115747749,methyl,c40
c42_methyl_4np_acetamide,0.001773804,0.42613788859933227,-4.859446392,methyl,c42
c21_methyl_4np_acetamide,0.001716814,0.45703872031788717,-3.356632696,methyl,c21
c16_methyl_4np_acetamide,0.001661605,0.3569365546007336,-6.180193528,methyl,c16
c31_methyl_4np_acetamide,0.001579149,0.32162800552590004,-5.460298512,methyl,c31
c25_methyl_4np_acetamide,0.00153107,0.3381457493018891,-4.988851166,methyl,c25
c32_methyl_4np_acetamide_343,0.001530981,0.2794429387097897,-4.757944332,methyl,c32
c30_methyl_4np_acetamide,0.001469993,0.25708941312776756,-5.087590303,methyl,c30
wt_methyl_4np_acetamide_127,0.001449226,0.2539380597174437,-5.43764271,methyl,wt
c32_methyl_4np_acetamide_30,0.001344372,0.23162989520481944,-4.819406454,methyl,c32
c22_methyl_4np_acetamide,0.001318866,0.22434141313395747,-4.381143141,methyl,c22
c33_methyl_4np_acetamide,0.001028625,0.12430283133285958,-4.679833256,methyl,c33
c23_methyl_4np_acetamide,9.55E-04,0.17354943,-3.864681782,methyl,c23
c38_methyl_4np_acetamide,6.81E-04,0.12110198002778826,-4.533651156,methyl,c38
c24_methyl_4np_acetamide,4.41E-04,0.095419653,-3.927755838,methyl,c24
c23_nitroacetanilide,0.354289713,0.9989303322208056,-15.17037559,nitroacetanilide,c23
c13_nitroacetanilide,0.350465439,0.9987903137893944,-17.98309148,nitroacetanilide,c13
c5_nitroacetanilide,0.328315953,0.9989412498477722,-19.32523227,nitroacetanilide,c5
c28_nitroacetanilide,0.320865009,0.9989406812518934,-18.18612625,nitroacetanilide,c28
c32_nitroacetanilide_42,0.317344945,0.9990788640312346,-16.50133294,nitroacetanilide,c32
c14_nitroacetanilide,0.316101413,0.9989398003731426,-19.35362897,nitroacetanilide,c14
c16_nitroacetanilide,0.313964486,0.9988721438417889,-17.03785403,nitroacetanilide,c16
c15_nitroacetanilide,0.305533624,0.9988442066869475,-19.172134,nitroacetanilide,c15
c40_nitroacetanilide,0.295657532,0.9991195697855446,-11.68846511,nitroacetanilide,c40
c4_nitroacetanilide,0.295068452,0.9988272195183062,-20.60849172,nitroacetanilide,c4
wt_nitroacetanilide_187,0.281655729,0.9985555764998069,-18.33602573,nitroacetanilide,wt
c27_nitroacetanilide,0.273543882,0.9992824569083736,-13.66215916,nitroacetanilide,c27
wt_nitroacetanilide_139,0.268198437,0.9989388824442987,-15.64839436,nitroacetanilide,wt
