org,max_slope,r2,intercept
DH_bio3,2.5327768917494864,0.9964547163166075,10.72488071785081
DH_bio1,2.2905381736850545,0.9993647545165677,13.501378501252253
DH_bio2,2.0999177618642024,0.9969931323215234,10.730036104242181
p019_bio2,0.3744743790030345,0.9341346630643206,3.5237725640572832
p064_bio2,0.31338305026531765,0.9710502732529885,1.9971982112431501
p089_bio1,0.28225740492742935,0.9100845359064129,1.9072367187137762
p064_bio1,0.277810884164874,0.9412499287784458,2.6816401970272254
p064_bio3,0.2720110744745842,0.9780689265601856,1.9701324326884728
p033_bio2,0.2667912457533237,0.9838962166183605,1.7719078259403491
p089_bio3,0.2292858097561175,0.9264567178073051,2.4130445660369197
p033_bio3,0.2169128824168329,0.9644994713534883,2.1417423571911494
p019_bio3,0.20627989798463478,0.9561041633132947,3.159351188517417
p042_bio2,0.1583348045449075,0.9193565409277709,1.5997823627985273
p045_bio2,0.1386154515979226,0.900070907706179,1.4631646234272613
p042_bio3,0.12991573706248807,0.951878811725359,1.7283448109332837
p054_bio3,0.1241159273721982,0.9264749516716376,1.9257316673928146
p077_bio1,0.11058303809485612,0.954408618879079,1.819917361709964
p054_bio2,0.1072964792703585,0.9215729294964173,2.2391147176581243
p054_bio1,0.09202364708592901,0.995530038958376,2.988256802653872
p077_bio2,0.08873708826143158,0.936200499174215,2.5476645931815347
p042_bio1,0.08390391351952363,0.9338732068486814,2.432957245973582
p033_bio1,0.08047235945276844,0.9589272094266085,5.247443782846422
EV_bio3,0.0688244083247702,0.9335756028090155,2.479613492815475
p077_bio3,0.06611783046930168,0.9798168211772597,2.6678495384303185
p019_bio1,0.05915805884095437,0.9665152766308837,3.449212788372115
EV_bio2,0.05451821108872229,0.9078773118197747,2.8198689946458013
EV_bio1,0.049878363336490844,0.9611667308432799,1.8462098323059501
