org,max_slope,r2,intercept
S170 + 4NP Trimethylacetate,0.12320082917150217,0.7013304065592473,0.7766442927611049
S170_boiled_control_4NP Trimethylacetate,0.11237474576451606,0.7958938851489435,1.6246874929750192
S146_boiled_control_4NP Trimethylacetate,0.09895040233985314,0.7758567527908311,1.4561614612729352
S146 + 4NP Trimethylacetate,0.08032953887983707,0.9038381981153759,0.7448877814339452
S146 biotic control,0.0012991300088383503,0.07012987012987022,-0.276372753291748
S170 biotic control,0.0010826083406986272,0.4285714285714311,-0.33591621203017225
