org,max_slope,r2,intercept
DH,2.1419894061330464,0.9907081972767217,25.279581400488787
p055,2.1098135996031515,0.9999671384132824,13.43084900928958
p069,1.9064416272008415,0.9998080231909029,12.236236048488314
p006,1.492050157575332,0.9999195515219692,3.673149288408969
p007,0.5589919126956094,0.9988992610312668,8.331763146428532
p075,0.3507223128489481,0.9999456443284978,8.217779565633524
p066,0.24763126959408646,0.9992753730630634,8.67656414740829
p005,0.2265955582757274,0.9997344009974632,8.423305958851495
p058,0.21228404857153774,0.999142838086345,7.84597470623107
p011,0.18986335244309446,0.9981151913722829,8.584854066288466
p087,0.18400225730477265,0.999874479102454,8.614841998263309
p016,0.17139688830865735,0.999781654972762,8.424443385990214
p088,0.17023269817844272,0.998661589792535,8.3008719634906
p022,0.1641307361166289,0.9997162777209906,7.949774968760657
p067,0.1557204660380095,0.9999217605298487,8.170703463586442
p043,0.15250890705810696,0.9992188742252958,7.717445439556237
p031,0.13592923382436176,0.9997852764525702,7.908994860463784
p057,0.12242061386514744,0.9997886343383459,7.919305302938852
p018,0.1189280434745042,0.9969111119746044,8.284847622330464
p070,0.11463258333888528,0.9718483630881501,8.129093702553076
p034,0.11342824872142228,0.9998589781142112,7.991384729794018
p010,0.1117622525005977,0.9868653189278745,8.538119192383002
p044,0.11081885705025153,0.9965678448457322,8.217170707576896
EV,0.10839011557169984,0.9944412236128627,7.8579444541790995
p004,0.10086302421255444,0.9825878076129017,8.20991124613274
