org,max_slope,r2,intercept
p055_enzyme_4NP_butyrate,2.0796908715558797,0.9999175870093607,-2.134915393680012
p055_enzyme_4NP_trimethylacetate,0.25294327951291246,0.9994272915554592,-4.8338808853808395
boiled_control_4NP_butyrate,0.21468942988400225,0.9971037996233673,-2.5474225069356904
boiled_control_4NP_trimethylacetate,0.1543179965919556,0.9381581150769869,-4.217273489868282
TNG + butyrate,0.09936962467885103,0.9998857898533301,-2.5484592686699017
boiled_control_4NP_acetamide,0.07026054521835297,0.9662897894564296,-2.76724257822232
TNG + acetamide,0.004226797839469686,0.9368538076709304,-2.14651471940713
p055_4NP_acetamide,0.0036153742526283065,0.9810466760961741,-2.121375462655402
