org,max_slope,r2,intercept
DH_bio3,1.8124506380513397,0.9595642288915623,19.48095353672798
p089_bio1,1.8121048165214706,0.9987526019791532,10.549247973997376
p089_bio2,1.808819511987701,0.9994656730996901,9.003137550867965
p089_bio3,1.7017877484927781,0.999856838353063,7.1777762423681235
DH_bio2,1.5928539665835675,0.9623902031899223,20.144930874079346
DH_bio1,1.2748710698676338,0.9495025796817013,22.643491427393784
p064_bio3,0.1519885623780889,0.9985731733322994,2.138407272173409
p054_bio3,0.09994242213257672,0.9994335972557387,3.3254973103755874
p019_bio3,0.09665711759880745,0.9104968458471531,2.9712607899448833
p077_bio1,0.09458218841958432,0.9933952711115046,3.571030596583637
p064_bio1,0.0940634561247789,0.9985019232066941,3.2279180020304405
p033_bio2,0.09181561618062008,0.9993832739645913,3.543739514184692
p054_bio2,0.08593665017282166,0.9982648875477392,3.4417509813337106
p077_bio2,0.08455336405333938,0.9980077769044023,3.6879759106015144
EV_bio2,0.08195970257931061,0.9982346494475876,3.4559296640584023
p064_bio2,0.08023059492995799,0.996863810346956,3.6893015597993517
EV_bio3,0.0798847734000876,0.9990825688073395,3.385266798121529
p033_bio1,0.07884730881047533,0.9995421360973415,3.501722198305447
p033_bio3,0.07763693345592952,0.999715690731022,3.2098776455555322
p077_bio3,0.07383289662735348,0.9991816380026851,3.529704923764121
p042_bio3,0.07348707509748319,0.9987834886228538,3.52186630242038
p054_bio1,0.06190205384682106,0.9997711789484631,3.649935542315764
p045_bio2,0.05965421390266287,0.9993283237479534,3.3117797230240438
EV_bio1,0.05671473089876392,0.998428509558869,3.631376453546034
p042_bio2,0.056023087839022365,0.9971124620060793,3.497658795329444
p019_bio1,0.051181586420835146,0.979387435725463,3.2272263589707126
p042_bio1,0.0503170325961589,0.9990876020057027,3.5046328628485055
p045_bio1,0.05014412183122359,0.9984170953700039,3.5552957169745367
p045_bio3,0.047031728062388985,0.9996036750135113,3.3263618642002593
p019_bio2,0.046512995767583235,0.9887408621985371,3.4507999780319976
